education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
4-year degree,Male,1990.0,Employed full-time in an organization,"$50,000 - $59,999",Liberal,Democrat,"Single, never married",11.0,11.0,30.0,1,1,Male,College degree,50k to 99k,Liberal,Democrat,Working,Not married
Professional degree,Male,1987.0,Employed full-time in an organization,"$40,000 - $49,999",Liberal,Democrat,Married or in a domestic partnership,6.0,5.0,33.0,0,1,Male,Advanced degree,Less than 50k,Liberal,Democrat,Working,Married
2-year degree,Female,1967.0,Employed full-time in an organization,"$30,000 - $39,999",Slightly conservative,Republican,Divorced,1.0,9.0,53.0,1,0,Female,College degree,Less than 50k,Conservative,Republican,Working,Not married
4-year degree,Male,1997.0,Employed full-time in an organization,"$90,000 - $99,999",Extremely conservative,Democrat,"Single, never married",7.0,7.0,23.0,1,1,Male,College degree,50k to 99k,Conservative,Democrat,Working,Not married
High school graduate,Female,1954.0,Currently unable to work,"$50,000 - $59,999",Slightly conservative,Democrat,Married or in a domestic partnership,8.0,11.0,66.0,1,1,Female,Some college or less,50k to 99k,Conservative,Democrat,Not working,Married
4-year degree,Female,1996.0,Employed full-time in an organization,"$40,000 - $49,999",Conservative,"Independent, but lean Republican",Married or in a domestic partnership,8.0,8.0,24.0,1,1,Female,College degree,Less than 50k,Conservative,Other or independent,Working,Married
4-year degree,Female,1962.0,"Unemployed, looking for work","$110,000 - $124,999",Extremely liberal,Democrat,Divorced,11.0,11.0,58.0,1,1,Female,College degree,100k+,Liberal,Democrat,Not working,Not married
2-year degree,Female,1987.0,Currently unable to work,"$20,000 - $29,999",Moderate; middle of the road,"Independent, but lean Democrat",Divorced,11.0,5.0,33.0,0,1,Female,College degree,Less than 50k,Moderate,Other or independent,Not working,Not married
4-year degree,Male,1988.0,Employed full-time in an organization,"$10,000 - $19,999",Liberal,Democrat,Married or in a domestic partnership,11.0,11.0,32.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Working,Married
4-year degree,Male,1959.0,Employed full-time in an organization,"$70,000 - $79,999",Extremely conservative,Democrat,Married or in a domestic partnership,6.0,5.0,61.0,0,1,Male,College degree,50k to 99k,Conservative,Democrat,Working,Married
4-year degree,Male,1995.0,Employed full-time in an organization,"$70,000 - $79,999",Slightly conservative,"Independent, but lean Republican","Single, never married",10.0,10.0,25.0,1,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
Professional degree,Male,1986.0,Employed full-time in an organization,"$50,000 - $59,999",Moderate; middle of the road,Democrat,"Single, never married",11.0,11.0,34.0,1,1,Male,Advanced degree,50k to 99k,Moderate,Democrat,Working,Not married
Some college,Male,1964.0,Employed full-time in an organization,"$20,000 - $29,999",Slightly liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,10.0,56.0,1,1,Male,Some college or less,Less than 50k,Liberal,Other or independent,Working,Married
2-year degree,Female,1952.0,Retired,"$60,000 - $69,999",Conservative,"Independent, but lean Republican",Married or in a domestic partnership,2.0,2.0,68.0,0,0,Female,College degree,50k to 99k,Conservative,Other or independent,Not working,Married
4-year degree,Male,1980.0,Employed full-time in an organization,"$110,000 - $124,999",Liberal,Democrat,Married or in a domestic partnership,6.0,6.0,40.0,1,1,Male,College degree,100k+,Liberal,Democrat,Working,Married
Professional degree,Male,1981.0,Employed full-time in an organization,"$125,000 or more",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,10.0,10.0,39.0,1,1,Male,Advanced degree,100k+,Moderate,Other or independent,Working,Married
